branch,parameter,rho_over_bg,Hlocal_over_Hbg,Upsilon,delta_linear
void,0.953091364,0.874010457,1.04306372,1.11571308,-0.140441681
void,0.975469337,0.868504279,1.04499749,1.12131922,-0.147325368
void,1.0034418,0.861501377,1.04746359,1.12852439,-0.156183117
void,1.02581977,0.855805981,1.04947482,1.1344474,-0.163473577
void,1.05379224,0.848574556,1.05203574,1.14205098,-0.172844396
void,1.07617021,0.842702784,1.0541212,1.14829463,-0.180549099
void,1.09854819,0.836756788,1.05623859,1.15468203,-0.18844042
void,1.12652065,0.829223845,1.05892923,1.16286967,-0.198569444
void,1.14889862,0.823120287,1.06111605,1.16958349,-0.206886565
void,1.17687109,0.815398593,1.06389135,1.17818177,-0.217553111
void,1.19924906,0.809150608,1.0661442,1.18522626,-0.226304576
void,1.22722153,0.80125661,1.06899988,1.19424063,-0.237519607
void,1.2495995,0.794877369,1.07131529,1.20162025,-0.246714415
void,1.27757196,0.786827526,1.07424701,1.21105644,-0.258489471
void,1.29994994,0.780330179,1.0766215,1.21877586,-0.268137089
void,1.3279224,0.772140899,1.07962484,1.22863983,-0.280484298
void,1.35030038,0.765538537,1.08205486,1.23670396,-0.290594669
void,1.37827284,0.757226119,1.08512541,1.24700198,-0.303526765
void,1.40065081,0.750531721,1.08760741,1.25541592,-0.314110321
void,1.42302879,0.743800546,1.09011136,1.26398704,-0.32490766
void,1.45100125,0.735338697,1.0932711,1.27492359,-0.338708331
void,1.47337922,0.728533956,1.09582186,1.2838523,-0.349994812
void,1.50135169,0.719988019,1.09903788,1.29523934,-0.364414131
void,1.52372966,0.713122249,1.10163188,1.30453129,-0.376201435
void,1.55170213,0.704507745,1.1048997,1.31637604,-0.391254334
void,1.5740801,0.697593234,1.10753336,1.32603713,-0.403554674
void,1.60205257,0.688925352,1.11084853,1.3383471,-0.41925676
void,1.62443054,0.681974106,1.11351829,1.34838345,-0.432082896
void,1.652403,0.673267663,1.11687638,1.36116643,-0.448450469
void,1.67478098,0.666291373,1.11957872,1.37158441,-0.461815725
void,1.70275344,0.65756077,1.12297533,1.38484851,-0.478865798
void,1.72513141,0.650570784,1.12570673,1.39565471,-0.492784076
void,1.74750939,0.643578257,1.12844994,1.40663564,-0.506952758
void,1.77548185,0.634837273,1.13189452,1.42060961,-0.525020189
void,1.79785982,0.627846781,1.13466182,1.43198874,-0.539763025
void,1.82583229,0.619114904,1.13813437,1.44646493,-0.558557669
void,1.84821026,0.612136847,1.14092236,1.45824948,-0.573890042
