seed,strength,passive_gaussian_fraction,explicit_repulsive_fraction,passive_energy,repulsive_energy
23,0.5,0.7325,0.2375,-0.1473875152877498,-0.06348561434413247
23,0.52,0.7475,0.23,-0.15290310255190062,-0.06294355652543018
23,0.54,0.77,0.2275,-0.15867022897165053,-0.06241688522147851
23,0.56,0.795,0.225,-0.16468757641984827,-0.06189994614947192
23,0.58,0.8175,0.2225,-0.17124521388368485,-0.06140161500488535
23,0.6,0.8375,0.2225,-0.17810326181936476,-0.060906552504885345
23,0.62,0.86,0.22,-0.18544486655014986,-0.06041439795795757
23,0.64,0.87,0.215,-0.19287968351378676,-0.05993559378959751
23,0.66,0.8925,0.215,-0.20072346956647574,-0.05947334378959751
23,0.68,0.8925,0.215,-0.20868903206647577,-0.05901109378959751
23,0.7000000000000001,0.9125,0.2125,-0.2168797941097833,-0.05855652920915054
23,0.72,0.92,0.21,-0.22528768023929877,-0.05811173536548615
23,0.74,0.94,0.205,-0.23397721566286184,-0.05768365435347349
23,0.76,0.9475,0.2025,-0.24282410633514484,-0.05726738399515228
23,0.78,0.9625,0.2025,-0.251890958571265,-0.05685732149515228
23,0.8,0.9625,0.2,-0.261155021071265,-0.05644991924645375
23,0.8200000000000001,0.9675,0.2,-0.2704771378335853,-0.05604991924645374
23,0.84,0.9725,0.1975,-0.27987781387160476,-0.05565350824682362
23,0.86,0.98,0.195,-0.28946193464760667,-0.05526451628906502
23,0.88,0.985,0.1925,-0.2991224582663594,-0.05488665972543453
23,0.9,0.985,0.19,-0.3088247082663594,-0.05452107681424926
23,0.92,0.9875,0.1875,-0.31853619579579395,-0.054165769500370026
23,0.9400000000000001,0.9875,0.1875,-0.328287758295794,-0.053814207000370026
23,0.96,0.99,0.185,-0.33805396423364786,-0.05346488151360604
23,0.98,0.99,0.1825,-0.34785496423364787,-0.05312561477292781
23,1.0,0.99,0.1825,-0.35765596423364787,-0.052792552272927805
23,1.02,0.9925,0.18,-0.3675000620757728,-0.05246224951397929
23,1.04,0.9925,0.18,-0.37735062457577284,-0.05213824951397929
23,1.06,0.995,0.1775,-0.38722215139223104,-0.0518175524684689
23,1.08,0.9975,0.1775,-0.3971632992819745,-0.0515024899684689
23,1.1,0.9975,0.175,-0.4071133617819745,-0.051187688611501435
23,1.12,0.9975,0.175,-0.41706342428197446,-0.050881438611501434
23,1.1400000000000001,1.0,0.1725,-0.42701986639255074,-0.05057819464440007
23,1.16,1.0,0.17,-0.43701986639255064,-0.050283667035859236
23,1.18,1.0,0.17,-0.44701986639255065,-0.04999466703585924
23,1.2,1.0,0.1675,-0.45701986639255066,-0.04970904411016606
23,1.22,1.0,0.165,-0.46701986639255066,-0.04943123353772712
23,1.24,1.0,0.165,-0.4770198663925507,-0.049158983537727116
23,1.26,1.0,0.1625,-0.4870198663925507,-0.04889161866310471
23,1.28,1.0,0.1625,-0.4970198663925507,-0.04862755616310471
23,1.3,1.0,0.16,-0.5070198663925507,-0.04836468074395017
23,1.32,1.0,0.16,-0.5170198663925507,-0.04810868074395017
23,1.34,1.0,0.1575,-0.5270198663925507,-0.04785360805980645
23,1.36,1.0,0.1575,-0.5370198663925507,-0.04760554555980645
23,1.3800000000000001,1.0,0.155,-0.5470198663925507,-0.04736461812137317
23,1.4000000000000001,1.0,0.155,-0.5570198663925507,-0.047124368121373175
23,1.42,1.0,0.155,-0.5670198663925506,-0.04688411812137318
23,1.44,1.0,0.155,-0.5770198663925507,-0.04664386812137318
23,1.46,1.0,0.155,-0.5870198663925507,-0.046403618121373176
23,1.48,1.0,0.155,-0.5970198663925507,-0.04616336812137317
23,1.5,1.0,0.1525,-0.6070198663925507,-0.04592438613953019
23,1.52,1.0,0.1525,-0.6170198663925507,-0.045691823639530185
23,1.54,1.0,0.15,-0.6270198663925507,-0.045459878550788424
23,1.56,1.0,0.15,-0.6370198663925507,-0.04523487855078842
23,1.58,1.0,0.15,-0.6470198663925507,-0.04500987855078842
23,1.6,1.0,0.15,-0.6570198663925507,-0.044784878550788415
23,1.62,1.0,0.1475,-0.6670198663925507,-0.044561637265020215
23,1.6400000000000001,1.0,0.1475,-0.6770198663925507,-0.04434407476502022
23,1.6600000000000001,1.0,0.1475,-0.6870198663925507,-0.04412651226502022
23,1.68,1.0,0.145,-0.6970198663925506,-0.043914020611340816
23,1.7,1.0,0.145,-0.7070198663925507,-0.043703770611340814
23,1.72,1.0,0.145,-0.7170198663925507,-0.04349352061134082
23,1.74,1.0,0.145,-0.7270198663925507,-0.04328327061134082
23,1.76,1.0,0.1425,-0.7370198663925507,-0.04307882934473878
23,1.78,1.0,0.1425,-0.7470198663925507,-0.042875766844738775
23,1.8,1.0,0.1425,-0.7570198663925507,-0.04267270434473877
47,0.0,0.335,0.335,-0.0767481795040593,-0.0767481795040593
47,0.02,0.35,0.335,-0.07793222044387825,-0.07562592950405929
47,0.04,0.3525,0.3275,-0.07916260745146596,-0.07452909502791984
47,0.06,0.355,0.325,-0.08040886731239062,-0.07345909844251203
47,0.08,0.355,0.315,-0.08166911731239063,-0.07242483241266573
47,0.1,0.36,0.31,-0.08294248122280114,-0.07144764371146667
47,0.12,0.3675,0.305,-0.08428013288057713,-0.07049224736004284
47,0.14,0.3725,0.3,-0.08564770630713016,-0.06957908456017181
47,0.16,0.385,0.295,-0.0870907851352404,-0.0686886773906762
