omega,k,ReG,ImG
2.54,0.0,0.09399845277606066,0.12761098535688162
2.5500000000000003,0.0,0.09350485880901205,0.1275100350078776
2.56,0.0,0.09301396071063554,0.12740765798320053
2.57,0.0,0.09252574767545876,0.12730387971420826
2.58,0.0,0.09204020880647888,0.12719872531202756
2.59,0.0,0.0915573331192543,0.12709221957043892
2.6,0.0,0.09107710954590634,0.12698438696876688
2.61,0.0,0.09059952693903262,0.1268752516747749
2.62,0.0,0.09012457407553305,0.12676483754756324
2.63,0.0,0.08965223966035034,0.12665316814046879
2.64,0.0,0.08918251233012581,0.12654026670396565
2.65,0.0,0.0887153806567725,0.12642615618856556
2.66,0.0,0.08825083315096643,0.12631085924771682
2.67,0.0,0.0877888582655577,0.12619439824070086
2.68,0.0,0.0873294443989024,0.12607679523552562
2.69,0.0,0.08687257989811717,0.1259580720118145
2.7,0.0,0.08641825306225705,0.12583825006369
2.71,0.0,0.0859664521454187,0.12571735060265168
2.72,0.0,0.0855171653597696,0.12559539456044674
2.73,0.0,0.08507038087850494,0.12547240259193343
2.74,0.0,0.08462608683873311,0.12534839507793546
2.75,0.0,0.08418427134429163,0.1252233921280876
2.7600000000000002,0.0,0.08374492246849378,0.12509741358367116
2.77,0.0,0.08330802825680851,0.12497047902043908
2.7800000000000002,0.0,0.08287357672947346,0.12484260775142962
2.79,0.0,0.08244155588404317,0.12471381882976822
2.8000000000000003,0.0,0.08201195369787342,0.12458413105145703
2.81,0.0,0.08158475813054299,0.1244535629581515
2.82,0.0,0.08115995712621349,0.12432213283992306
2.83,0.0,0.08073753861592933,0.12418985873800835
2.84,0.0,0.08031749051985801,0.12405675844754342
2.85,0.0,0.0798998007494724,0.12392284952028315
2.86,0.0,0.07948445720967609,0.1237881492673053
2.87,0.0,0.07907144780087262,0.12365267476169857
2.88,0.0,0.07866076042098001,0.12351644284123457
2.89,0.0,0.07825238296739119,0.12337947011102303
2.9,0.0,0.0778463033388821,0.12324177294615025
2.91,0.0,0.07744250943746755,0.12310336749430012
2.92,0.0,0.07704098917020678,0.12296426967835736
2.93,0.0,0.07664173045095905,0.12282449519899341
2.94,0.0,0.07624472120209061,0.12268405953723352
2.95,0.0,0.07584994935613386,0.12254297795700589
2.96,0.0,0.07545740285739973,0.12240126550767177
2.97,0.0,0.0750670696635442,0.12225893702653695
2.98,0.0,0.07467893774709,0.122116007141344
2.99,0.0,0.07429299509690407,0.1219724902727453
3.0,0.0,0.07390922971963225,0.12182840063675644
3.0100000000000002,0.0,0.07352762964109134,0.12168375224719016
3.02,0.0,0.07314818290762033,0.1215385589180704
3.0300000000000002,0.0,0.07277087758739065,0.12139283426602647
3.04,0.0,0.07239570177167719,0.12124659171266719
3.0500000000000003,0.0,0.07202264357609024,0.12109984448693475
3.06,0.0,0.07165169114176975,0.12095260562743856
3.0700000000000003,0.0,0.07128283263654198,0.12080488798476838
3.08,0.0,0.0709160562560403,0.12065670422378746
3.09,0.0,0.0705513502247901,0.12050806682590492
3.1,0.0,0.07018870279725874,0.12035898809132764
3.11,0.0,0.06982810225887189,0.12020948014129162
3.12,0.0,0.06946953692699598,0.12005955492027276
3.13,0.0,0.06911299515188861,0.11990922419817686
3.14,0.0,0.06875846531761652,0.11975849957250903
3.15,0.0,0.06840593584294287,0.11960739247052263
3.16,0.0,0.06805539518218366,0.11945591415134713
3.17,0.0,0.06770683182603462,0.11930407570809573
3.18,0.0,0.06736023430236877,0.1191518880699522
3.19,0.0,0.06701559117700547,0.11899936200423687
3.2,0.0,0.06667289105445184,0.1188465081184525
3.21,0.0,0.06633212257861686,0.11869333686230928
3.22,0.0,0.06599327443349866,0.11853985852972931
3.23,0.0,0.06565633534384624,0.11838608326083089
3.24,0.0,0.06532129407579537,0.11823202104389215
3.25,0.0,0.06498813943748019,0.11807768171729455
3.2600000000000002,0.0,0.06465686027961998,0.11792307497144595
3.27,0.0,0.06432744549608282,0.11776821035068369
3.2800000000000002,0.0,0.06399988402442588,0.11761309725515728
3.29,0.0,0.06367416484641313,0.11745774494269147
3.3000000000000003,0.0,0.06335027698851116,0.11730216253062892
3.31,0.0,0.0630282095223634,0.11714635899765334
3.3200000000000003,0.0,0.06270795156524336,0.11699034318559277
3.33,0.0,0.06238949228048749,0.11683412380120331
3.34,0.0,0.0620728208779078,0.11667770941793297
3.35,0.0,0.06175792661418536,0.11652110847766661
3.36,0.0,0.06144479879324436,0.11636432929245107
3.37,0.0,0.06113342676660782,0.11620738004620121
3.38,0.0,0.06082379993373534,0.11605026879638716
3.39,0.0,0.060515907742342716,0.11589300347570208
3.4,0.0,0.06020973968870492,0.11573559189371141
3.41,0.0,0.05990528531794172,0.11557804173848321
3.42,0.0,0.05960253422428742,0.11542036057820007
3.43,0.0,0.05930147605134426,0.11526255586275237
3.44,0.0,0.05900210049232055,0.11510463492531318
3.45,0.0,0.05870439729025333,0.11494660498389511
3.46,0.0,0.05840835623821663,0.11478847314288884
3.47,0.0,0.05811396717951499,0.11463024639458397
3.48,0.0,0.057821220007863224,0.11447193162067186
3.49,0.0,0.05753010466755231,0.11431353559373078
3.5,0.0,0.05724061115360216,0.11415506497869377
3.5100000000000002,0.0,0.05695272951190134,0.11399652633429881
3.52,0.0,0.05666644983933422,0.11383792611452197
3.5300000000000002,0.0,0.0563817622838958,0.11367927066999328
3.54,0.0,0.0560986570447947,0.11352056624939592
3.5500000000000003,0.0,0.05581712437254438,0.11336181900084819
3.56,0.0,0.0555371545690432,0.11320303497326913
3.5700000000000003,0.0,0.05525873798764333,0.11304422011772762
3.58,0.0,0.05498186503320914,0.1128853802887749
3.59,0.0,0.05470652616216495,0.11272652124576102
3.6,0.0,0.054432711882532916,0.11256764865413518
3.61,0.0,0.05416041275396092,0.11240876808673023
3.62,0.0,0.05388961938774083,0.1122498850250311
3.63,0.0,0.0536203224468178,0.11209100486042806
3.64,0.0,0.05335251264579012,0.1119321328954541
3.65,0.0,0.053086180750900616,0.1117732743450072
3.66,0.0,0.05282131758001935,0.11161443433755723
3.67,0.0,0.052557914002618215,0.1114556179163381
3.68,0.0,0.05229596093973737,0.11129683004052479
3.69,0.0,0.05203544936394389,0.1111380755863957
3.7,0.0,0.05177637029928297,0.11097935934848048
3.71,0.0,0.05151871482122169,0.1108206860406933
3.72,0.0,0.05126247405658572,0.11066206029745206
3.73,0.0,0.051007639183489134,0.11050348667478314
